Location_ID,Longitude,Latitude,Street 1,Street 2,Incident_Score
1503,-79.5406,43.62252,NORTH QUEEN ST,SHORNCLIFFE RD,0.0058399437606166255
1415,-79.2620527,43.8201296,MIDDLEFIELD RD,MCNICOLL AVE,0.005830314954328002
1159,-79.34697299999999,43.6510701,LAKE SHORE BLVD E,DON ROADWAY,0.005830180600848674
2111,-79.5437068,43.757489,WESTON RD,FENMAR DR,0.0058295593418440156
1565,-79.2981,43.819990000000004,PASSMORE AVE,SILVER STAR BLVD,0.005827786865953159
427,-79.260862,43.714791299999995,DANFORTH RD,KENNEDY RD,0.0058277717415182225
426,-79.25847173,43.71913856,DANFORTH RD,HART AVE,0.005823030344509295
1684,-79.59269,43.716590000000004,REXDALE BLVD,QUEENS PLATE DR,0.005820931304350476
786,-79.22752,43.816340000000004,FINCH AVE E,NEILSON RD,0.005820238313332236
926,-79.5405,43.6832,ISLINGTON AVE,SUMMITCREST DR,0.005820044815317925
422,-79.24441999999999,43.75042,DANFORTH RD,BARRYMORE RD,0.005818953716724698
1705,-79.52136,43.670120000000004,ROYAL YORK RD,EDENBRIDGE DR,0.005817743571207953
450,-79.430924,43.674695799999995,DAVENPORT RD,OSSINGTON AVE,0.005817697647989392
1414,-79.26524,43.82739,MIDDLEFIELD RD,INGLETON BLVD,0.005817550912095371
1683,-79.60347,43.7191909,REXDALE BLVD,QUEENS PLATE DR,0.00581723520309577
528,-79.44828658,43.690337899999996,DUFFERIN ST,GIBSON ST,0.005816889812073994
249,-79.57075328,43.63359229,BLOOR ST W,MARKLAND DR,0.005816847668800561
917,-79.56831,43.75228,ISLINGTON AVE,MILADY RD,0.005816620358283589
164,-79.39059,43.77805,BAYVIEW AVE,MCKEE AVE,0.005816241526064693
1567,-79.33234817,43.80715845,PHARMACY AVE,ARNALL AVE,0.005815681179145456
1907,-79.37245,43.80856,STEELES AVE E,LESLIE ST,0.005815598281247351
781,-79.3993073,43.783336799999994,FINCH AVE E,MAXOME AVE,0.005815181410271542
381,-79.337723,43.6920347,COSBURN AVE,GREENWOOD AVE,0.00581491406665995
1895,-79.31693,43.82142,STEELES AVE E,BIRCHMOUNT RD,0.005814909440542851
1939,-79.50431999999999,43.779270000000004,STEELES AVE W,FOUNDERS RD,0.005814774036465813
1670,-79.56423000000001,43.654990000000005,RATHBURN RD,THE EAST MALL,0.005814614146171958
77,-79.43733,43.75077,BATHURST ST,BAINBRIDGE AVE,0.005814449157395086
1281,-79.42246,43.720859999999995,LAWRENCE AVE W,LEDBURY ST,0.005814312136824521
911,-79.51133,43.6184,ISLINGTON AVE,EVANS AVE,0.0058142693037909095
1771,-79.18665,43.805,SHEPPARD AVE E,ROUGE RIVER DR,0.005814264495603676
202,-79.3121,43.81078,BIRCHMOUNT RD,FUNDY BAY BLVD,0.005814019838084125
1016,-79.28407076,43.77313402,KENNEDY RD,401 C E KENNEDY RD RAMP,0.005813531702790727
1098,-79.19778672,43.75891445,KINGSTON RD,OVERTURE RD,0.0058134364239990416
861,-79.35521,43.664809999999996,GERRARD ST E,ST MATTHEWS RD,0.005813207648639085
650,-79.31828,43.72615,EGLINTON AVE E,CREDIT UNION DR,0.005813200292892452
1075,-79.24354154,43.71557620000001,KINGSTON RD,BRIMLEY RD S,0.005813177128850116
1119,-79.53933,43.65101,KIPLING AVE,BURNHAMTHORPE RD,0.005813008701205737
831,-79.45443,43.771587,FINCH AVE W,TORRESDALE AVE,0.005812950898183268
2067,-79.31751,43.76303,VICTORIA PARK AVE,YORK MILLS RD,0.005812921876164536
1756,-79.17551999999999,43.80734,SHEPPARD AVE E,IDAGROVE GT,0.005812678548467294
288,-79.25713,43.75898,BRIMLEY RD,DORCOT AVE,0.005812668279245592
1790,-79.48277,43.7483,SHEPPARD AVE W,JOHN DRURY DR,0.005812618385189336
1931,-79.48104000000001,43.78472,STEELES AVE W,ALNESS ST,0.005812541121881053
223,-79.37076400000001,43.672016,BLOOR ST E,PARLIAMENT ST,0.005812504558676574
1535,-79.42981999999999,43.672059999999995,OSSINGTON AVE,ACORES AVE,0.005812451270154806
203,-79.30227,43.79045,BIRCHMOUNT RD,HUNTINGWOOD DR,0.005812428053975442
1792,-79.46724,43.75196,SHEPPARD AVE W,KODIAK CRES,0.0058123975201648395
1849,-79.28593000000001,43.7109681,ST CLAIR AVE E,HERRON AVE,0.005812308985107482
1464,-79.21115640000001,43.8163226,MORNINGSIDE AVE,SEWELLS RD,0.005812288646028311
1027,-79.29343,43.79517,KENNEDY RD,HUNTINGWOOD DR,0.005812257766132016
2177,-79.45488,43.74872,WILSON HEIGHTS BLVD,REINER RD,0.0058122486348437825
1921,-79.2804,43.829840999999995,STEELES AVE E,STRAWBERRY HILLS DR,0.005812187059348023
507,-79.43273,43.66973,DOVERCOURT RD,DUPONT ST,0.005812063279123781
